amyloid_transcript	amyloid_gene_name	n_samples	mean_amyloid_TPM_AC	mean_amyloid_TPM_TOL	mean_paired_shift_AC	mean_paired_shift_TOL	mean_amyloid_index	delta_paired_shift_TOL_minus_AC	delta_amyloid_TPM_TOL_minus_AC
ENST00000395663	ATP5F1E	2	98.54329681396484	143.38499450683594	3.030715228700426	2.557942874540398	-0.9807255355627127	-0.47277235416002794	44.841697692871094
ENST00000529704	POLD4	7	99.24512672424316	108.59206644694011	3.9815029610449835	3.486367718497723	-0.23379121305545697	-0.4951352425472604	9.346939722696945
ENST00000368737	S100A12	8	202.74275016784668	277.4957447052002	2.8170590996984224	2.2304843171863995	0.5565604137986349	-0.5865747825120229	74.75299453735352
ENST00000604604	MORC4	6	130.83739852905273	116.73122596740723	3.620141652968644	3.0244952668028287	-0.020709286886545407	-0.5956463861658152	-14.106172561645508
ENST00000504688	KIAA1191	3	99.28200149536133	102.53500366210938	3.6866309454647297	3.086490617728113	-0.6840361488109085	-0.6001403277366166	3.253002166748047
ENST00000356815	HBM	5	107.32826487223308	143.91849517822266	3.328060154063864	2.714647718624796	0.9858498542667375	-0.6134124354390682	36.59023030598958
ENST00000375466	GPR173	3	57.025299072265625	74.97600173950195	4.47437241697466	3.8549530239678402	0.9229725079983048	-0.6194193930068197	17.950702667236328
ENST00000519742	CLU	3	112.80214881896973	290.635986328125	3.0390362906903254	2.3873036305912914	0.4613668282725995	-0.6517326600990341	177.83383750915527
ENST00000495996	GSTP1	2	43.47359848022461	111.53900146484375	4.053866757311619	3.397149713192027	0.04809819338947632	-0.656717044119592	68.06540298461914
ENST00000396290	ID2	9	287.0967483520508	346.67640075683596	2.027191410048271	1.358836366955498	0.20628638828001958	-0.6683550430927732	59.57965240478518
ENST00000647309	RIPOR2	8	1278.8967552185059	1299.7514953613281	1.995673918147776	1.306943862943744	-1.5675074702886156	-0.6887300552040321	20.854740142822266
ENST00000522586	NCK2	6	79.46833419799805	109.93799718221028	3.8655968293871497	3.174912243003775	-0.22457799064957493	-0.6906845863833748	30.469662984212235
ENST00000373212	SH3BGRL	8	74.799973487854	88.69754886627197	4.20231383219194	3.508281590359625	-0.27497483626547364	-0.6940322418323155	13.897575378417969
ENST00000389995	SOD1	6	85.28023274739583	85.40039825439453	4.170572027886578	3.4406612184862735	-0.11826623132558252	-0.7299108094003048	0.12016550699870265
ENST00000683030	RAB18	3	97.46675109863281	155.58099365234375	3.4006176423423398	2.669809439083866	-0.8917727018267957	-0.7308082032584737	58.11424255371094
ENST00000445623	TIMP1	2	151.20199584960938	190.3280029296875	3.2370424025256748	2.497840324924712	-0.040888464687334744	-0.7392020776009627	39.126007080078125
ENST00000713815	VHL	3	86.91709899902344	85.81959915161133	4.361138732546609	3.6190077873105144	-0.1655111109356296	-0.7421309452360942	-1.0974998474121094
ENST00000425030	CFLAR	3	67.27145004272461	73.65679931640625	4.918569622682672	4.099512442480481	0.021591894600081502	-0.8190571802021909	6.385349273681641
ENST00000557972	LACTB	3	89.57009887695312	88.87469863891602	4.554561430068421	3.7042035013895473	-0.6688851913707171	-0.850357928678874	-0.6954002380371094
ENST00000520342	ASAP1	8	980.5175018310547	1097.5602569580078	2.0975647046450927	1.2381529089722623	-0.4936311323436694	-0.8594117956728304	117.04275512695312
ENST00000511706	PAIP2	7	112.55833435058594	165.17347526550293	3.40481995127965	2.5352927288335048	-1.2721185567682138	-0.8695272224461452	52.61514091491699
ENST00000588162	TXNL4A	6	100.13516616821289	99.13116709391277	4.020498443405619	3.1352613942508043	-0.5107395864245613	-0.8852370491548145	-1.0039990743001255
ENST00000548556	BLOC1S1	2	54.72829818725586	94.25170135498047	4.554763436288544	3.6684164333870606	0.022411976473823526	-0.8863470029014837	39.52340316772461
ENST00000590619	DNMT1	3	87.01920318603516	125.97484588623047	4.447031172714743	3.5345609709474948	-1.7430780428875423	-0.9124702017672481	38.95564270019531
ENST00000601600	SYMPK	2	40.059898376464844	99.51429748535156	4.145477346282636	3.2258097219329542	-0.7757800051974442	-0.9196676243496817	59.45439910888672
ENST00000514272	C15orf40	5	85.0217514038086	88.42486572265625	4.689706834315862	3.7178444585088557	0.5564470032325004	-0.9718623758070062	3.4031143188476562
ENST00000416690	GTF3C3	3	91.72550201416016	109.70149993896484	4.238354619742532	3.2523968568546167	1.2350209441649507	-0.9859577628879155	17.975997924804688
ENST00000519472	CLU	4	103.13495063781738	190.60599517822266	3.204422303680588	2.1188038228923576	0.8550254115920843	-1.0856184807882303	87.47104454040527
