Transcript_ID	SRR32060276	SRR32060306	SRR32060309	SRR32060312	SRR32060326	SRR32060336	SRR32060341	SRR32060215	SRR32060216	SRR32060234	SRR32060240
ENST00000650563.1	53.4496	0.0	67.2291	0.0	2.923	0.0	11.692	2.923	0.0	0.0	0.0
ENST00000650567.1	18.0	5.0	54.0	78.0	10.0	11.0	15.0	13.0	6.0	10.0	0.0
ENST00000650590.1	103.273	14.5455	248.185	175.31	38.0932	25.2837	35.1187	18.7677	20.6013	4.09228	57.4263
ENST00000650601.1	196.741	205.684	76.0448	531.975	77.4724	55.3017	14.0746	297.425	29.1311	625.566	156.529
ENST00000650617.1	158.744	228.902	249.538	197.919	56.2938	78.0	53.2529	58.5877	20.3745	203.0	336.274
ENST00000650636.1	10.7055	2.55808	41.3434	21.9394	12.8809	19.0	15.1434	8.86239	7.0	0.0	15.5757
ENST00000650645.1	0.0	16.0	0.0	55.0	10.0	7.0	7.0	0.0	13.9773	0.0	0.0
ENST00000650653.1	73.0134	95.0	374.0	90.0488	0.0	0.0	21.1306	0.0	0.00401982	286.0	180.0
ENST00000650673.1	52.8315	8.64854	74.0543	0.0	9.91946	0.738486	7.02022	3.04648	11.1413	0.0	0.0
ENST00000650698.1	417.857	229.0	1318.73	1460.49	245.058	61.9444	170.222	61.9444	82.5926	0.0	0.0
ENST00000650711.1	45.4247	56.4054	127.258	204.952	33.0829	15.5446	36.7087	20.9085	18.6062	23.2691	22.4897
ENST00000650734.1	10.5656	18.6565	74.177	24.5749	4.34715	4.35464	8.19672	6.20957	0.0	0.0	1.00057
ENST00000650757.1	26.1936	40.152	92.6154	40.2323	7.52683	15.4814	10.139	3.67155	15.4488	20.0899	1.00981
ENST00000650792.2	0.0	54.2236	59.833	44.8747	2.44204	23.0	23.0	5.60934	9.3489	3.0	0.0
ENST00000650807.1	4.08836e-08	177.372	190.415	6.69764e-05	0.0	18.8795	67.4299	61.214	0.0	0.0	0.0
ENST00000650819.1	13.1213	19.713	14.8327	4.11646	1.01764	12.3268	5.21706	2.00822	3.07475	0.0	0.0
ENST00000650821.1	39.0213	36.1325	68.0239	7.45455	7.00382	0.0	6.00379	14.1189	10.0079	9.01816	0.0
ENST00000650827.1	0.0659132	0.0	4.33343e-05	87.2651	6.60588	82.0556	0.0	34.0556	110.407	203.0	301.076
ENST00000650836.2	23.8735	11.9367	45.8885	0.0	0.0	0.0	20.6961	0.0	0.0	0.0	0.0
ENST00000650860.2	196.294	104.167	532.48	906.152	353.131	163.355	134.112	34.2832	118.839	53.7949	0.0
ENST00000650865.2	265.972	61.1852	901.654	727.796	33.255	68.6532	96.8341	55.0353	118.61	147.558	0.0
ENST00000650871.1	0.0	0.0	610.244	0.0	129.648	53.0612	53.0612	59.506	0.0	0.0	0.0
ENST00000650883.1	0.0	0.0	111.575	0.0	0.0	17.1481	42.0	9.15625	18.9375	0.0	0.0
ENST00000650905.2	62.6789	0.0	0.0	117.523	0.0	7.83482	15.6692	0.0	0.0	0.0	0.0
ENST00000650955.1	2.86634	8.18386	83.2026	54.5591	5.45591	5.46266	6.81989	6.81989	11.2886	0.0	0.0
ENST00000650960.1	22.2559	40.8423	147.694	110.47	41.4397	18.6327	18.4727	11.4086	15.681	33.6104	10.0384
ENST00000650969.1	26.9407	17.0066	87.4539	27.9243	10.2331	22.604	16.6561	6.07945	4.60851	0.0	46.3544
ENST00000650978.1	48.6389	97.9476	239.728	122.177	39.6712	40.9197	33.6542	16.6052	19.3669	53.7191	0.0
ENST00000650983.1	774.369	267.024	961.286	640.857	320.429	26.7024	53.4048	80.1071	133.512	80.1071	0.0
ENST00000650997.1	64.3938	35.8304	197.054	333.946	30.6033	45.4363	42.4606	10.8338	50.8404	28.9208	60.5618
ENST00000651002.1	39.1519	0.0	140.867	0.0	0.0	11.4949	16.6362	7.64641	16.6743	0.0	0.0
ENST00000651004.1	1742.03	5188.78	2447.87	5435.68	775.439	1947.09	382.791	1547.61	297.146	3909.05	3222.92
ENST00000651028.1	58.0211	50.5986	97.8199	0.000562949	3.82192	5.11679	21.2117	5.90057	8.95974	0.0	164.179
ENST00000651036.1	0.0	13.0004	18.2576	37.0009	1.00013	2.00126	6.01711	0.0	1.00005	0.0	2.0
ENST00000651042.1	0.00158093	68.5961	280.267	158.214	0.0140958	28.9028	13.9585	13.8976	14.8147	118.384	18.8985
ENST00000651061.1	45.2748	25.2767	67.75	86.3547	14.4709	17.0392	14.3259	7.30696	15.9754	31.1807	0.0
ENST00000651066.1	84.3764	55.1769	177.179	104.37	25.9468	38.1331	11.5796	0.0	47.0564	0.0	4.12439
ENST00000651111.1	0.0	5.67448	213.29	0.0	11.349	0.0	0.0	0.0	44.5195	544.75	0.0
ENST00000651112.1	26.6542	925.221	0.0	0.0	0.0	3.96655e-08	0.0	0.00168851	38.8646	0.0	0.0782062
ENST00000651114.1	688.288	390.351	1871.57	1661.26	256.555	250.672	286.318	112.907	206.654	174.83	227.672
ENST00000651132.1	7.04564	0.0	56.7757	71.9594	5.9907	5.73537	8.14082	11.1262	8.28515	0.0	0.0
ENST00000651137.1	4.6857	28.2175	40.4482	10.7782	1.87132	0.0	3.81885	10.5245	12.9211	1.7533	0.0
ENST00000651144.2	29.0	75.0	46.0	95.0	4.0	22.0	7.0	24.0	14.0	38.0	48.0
ENST00000651154.1	306.383	462.448	747.784	681.632	99.8478	83.4376	80.6673	266.728	117.84	218.27	222.828
ENST00000651177.1	2.0	157.135	0.0	196.926	0.0	56.4151	88.5305	89.4321	127.139	1.0	102.0
ENST00000651185.1	56.5355	0.0	1.45269	188.163	37.4643	15.4841	4.12273	17.7461	1.68677	0.0	0.0
ENST00000651202.1	30.2825	82.1323	232.212	175.827	37.2256	44.5986	25.4435	11.1793	30.2756	0.0	4.0
ENST00000651208.1	164.222	0.0	357.264	191.597	48.3614	68.1436	82.3276	54.8876	67.6918	128.091	15.5931
ENST00000651213.1	451.0	325.0	1370.0	782.0	108.0	157.0	234.0	135.0	308.0	137.0	139.0
ENST00000651222.2	116.9	46.5302	400.378	444.141	51.1998	68.2664	73.4276	9.43102e-07	83.233	0.0	105.813
ENST00000651235.1	73.9289	30.801	216.532	227.163	36.9904	25.0752	18.3259	35.4544	37.1317	0.0	210.006
ENST00000651255.1	368.717	218.351	1606.31	927.948	151.377	166.112	141.719	133.285	281.655	188.39	318.029
ENST00000651259.3	34.572	72.9476	376.678	394.485	35.8653	57.8587	56.7054	21.3417	44.4599	13.0578	15.8094
ENST00000651280.1	0.0	0.0	0.0	0.0	0.0	40.8337	0.0	18.3902	89.243	0.0	0.0
ENST00000651305.1	60.8068	64.8945	43.8178	219.299	20.1969	44.1106	34.9857	36.5049	26.389	0.0	0.0
ENST00000651323.1	77.4787	100.933	310.348	152.861	16.5217	76.7848	65.0168	8.25928	52.2388	37.2833	11.3871
ENST00000651335.1	0.0	0.0	10.0312	50.3919	2.47698	0.0	2.35106	0.0	0.0	35.5964	0.0
ENST00000651348.1	31.8273	0.0	36.3187	0.0	0.0	32.066	13.0653	0.0	21.3507	32.0229	0.0
ENST00000651359.1	18.7362	28.8238	99.8078	35.4163	18.9371	8.90422	17.4125	0.0	1.49846	0.0	2.0459
ENST00000651385.1	15.5585	24.6603	60.9543	72.2162	7.43986	7.37919	9.14412	5.39731	18.3228	31.0906	29.0
ENST00000651386.1	889.57	991.53	2424.95	1721.45	302.537	438.399	464.434	369.282	510.654	378.546	568.278
ENST00000651388.1	31.3253	28.8343	169.679	71.0	22.7521	31.2806	22.714	7.82887	8.0	0.0	29.0
ENST00000651397.1	19.4522	38.277	37.091	72.8571	6.5031	14.4616	9.0655	7.0432	26.7444	0.0	99.9885
ENST00000651418.1	0.0	0.0	11.7388	93.6439	11.9781	0.0	6.20677	16.6207	1.0177	0.0	0.0
ENST00000651434.1	19.263	0.0	95.0257	28.214	13.2272	32.9701	36.447	30.7789	35.4441	0.0	0.0
ENST00000651435.1	26.571	4.26895	81.6792	24.4404	10.0717	21.0497	14.4432	5.76239	9.45277	26.7962	62.7586
ENST00000651447.3	67.5427	89.2492	222.904	59.8365	46.4435	30.2785	29.7328	45.2648	38.5354	46.0311	0.0
ENST00000651465.1	0.0	0.0	0.0	58.6559	17.839	0.0	21.9559	3.30837	0.0	0.0	0.0
ENST00000651485.1	33.9918	0.0	9.43809	30.6887	0.215104	0.0	2.94584e-08	40.5323	36.9146	277.479	31.4309
ENST00000651498.1	160.581	122.317	358.0	405.0	73.0	42.0	84.0	33.8065	54.0	95.0	54.0
ENST00000651502.1	0.0	43.6537	0.0	28.0658	45.7511	7.70957	0.0	7.3816	0.0	0.0	64.1584
ENST00000651508.2	8.65633	67.4664	200.14	54.1982	8.57248	17.1472	34.7646	0.0	14.1796	0.0	0.0
ENST00000651522.1	4.0	11.0	0.0	0.0	4.0	0.0	0.0	0.0	10.0	39.0	0.0
ENST00000651532.1	49.1853	81.0502	453.013	791.302	69.7183	96.1217	118.998	32.3322	143.255	0.0	469.93
ENST00000651545.1	0.0	3.8027e-07	21.768	0.0	0.0	0.0	2.94534e-05	0.0	47.5074	366.309	312.365
ENST00000651546.1	52.6412	69.4237	322.066	0.0	0.0	73.2532	120.803	189.088	87.3528	0.0	1065.02
